episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed,tripinfo_mean_waiting_time,tripinfo_mean_duration,tripinfo_mean_time_loss
0,0,4.272298946736003,9,768,8.15826402674888,11.541666666666666,47.372395833333336,16.933124999999986
1,1,4.3690053901932835,9,768,8.144555133022473,11.713541666666666,47.390625,17.163046875000003
2,2,4.257503776851904,8,768,8.200406645900774,11.470052083333334,47.1796875,16.775559895833343
3,3,4.246742214096583,8,768,8.217485211205691,11.298177083333334,46.908854166666664,16.700091145833337
4,4,4.3078668286967625,8,768,8.178469384964824,11.57421875,47.12109375,17.02782552083335
5,5,4.241814365323381,9,768,8.214703888884454,11.375,46.998697916666664,16.782460937499994
6,6,4.300212518641784,9,768,8.188060232656062,11.49609375,47.114583333333336,16.91041666666668
7,7,4.40762404685775,8,768,8.123702627746924,11.765625,47.470052083333336,17.199700520833343
8,8,4.284945675375633,8,768,8.173511105323001,11.5859375,47.30859375,17.05173177083333
9,9,4.30309948384722,8,768,8.220045190274616,11.548177083333334,47.100260416666664,16.943789062500006
10,10,4.30464880896573,8,768,8.208038666565306,11.533854166666666,47.12890625,16.953138020833336
11,11,4.493960803028071,9,768,8.112326781075621,11.959635416666666,47.578125,17.38048177083334
12,12,4.407244729765535,8,768,8.155546330433676,11.694010416666666,47.338541666666664,17.137981770833346
13,13,4.417664501471713,9,768,8.11584566423549,11.895833333333334,47.634114583333336,17.271067708333305
14,14,4.31019981713463,9,768,8.16608651230078,11.606770833333334,47.333333333333336,16.978763020833334
15,15,4.397314291887801,9,768,8.14024938896724,11.791666666666666,47.41015625,17.17263020833333
16,16,4.35646107629464,9,768,8.169748945314575,11.643229166666666,47.341145833333336,17.13430989583331
17,17,4.264013700508152,9,768,8.199276165892261,11.55078125,47.1875,16.994010416666665
18,18,4.330417201732573,9,768,8.197293842561105,11.557291666666666,47.134114583333336,16.95041666666668
19,19,4.3427654602248715,8,768,8.140360551824388,11.69140625,47.466145833333336,17.062552083333344
20,20,4.348864704412555,8,768,8.169598281571076,11.626302083333334,47.305989583333336,17.060546874999996
21,21,4.362497296200486,8,768,8.145413525449978,11.7734375,47.53515625,17.222630208333317
22,22,4.395395795066391,8,768,8.198491564422294,11.627604166666666,47.15625,16.978697916666665
23,23,4.325564133816561,8,768,8.124566924705254,11.647135416666666,47.546875,17.129492187500002
24,24,4.3616311585625045,9,768,8.18165937588765,11.701822916666666,47.294270833333336,17.10401041666667
25,25,4.235063531489043,8,768,8.207166274161098,11.559895833333334,47.2109375,16.991432291666687
26,26,4.294248385302477,8,768,8.206200126701201,11.537760416666666,47.138020833333336,16.96381510416666
27,27,4.230368605902994,9,768,8.232413515883977,11.434895833333334,47.072916666666664,16.86490885416666
28,28,4.396570533185324,9,768,8.137272391584087,11.770833333333334,47.459635416666664,17.243841145833347
29,29,4.33148090328987,8,768,8.171677449075881,11.583333333333334,47.270833333333336,16.932473958333325
