hour,total_veh_per_hour,basler_n,basler_s,quer_e,quer_w
0,72,22,22,14,14
1,39,12,12,8,8
2,24,7,7,5,5
3,19,6,6,4,4
4,29,9,9,6,6
5,72,22,22,14,14
6,192,58,58,38,38
7,361,108,108,72,72
8,337,101,101,67,67
9,266,80,80,53,53
10,241,72,72,48,48
11,265,80,80,53,53
12,291,87,87,58,58
13,265,80,80,53,53
14,264,79,79,53,53
15,314,94,94,63,63
16,388,116,116,78,78
17,463,139,139,93,93
18,363,109,109,73,73
19,240,72,72,48,48
20,168,50,50,34,34
21,121,36,36,24,24
22,96,29,29,19,19
23,77,23,23,15,15
